region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
705,0,int32,808534896013.744,11611004.0,
705,0,int64,0.0,0,
705,0,float32,16280402927698.662,233795504.0,
705,0,float64,0.0,0,
706,0,int32,808534896013.744,11611004.0,
706,0,int64,0.0,0,
706,0,float32,16280224661518.254,233792944.0,
706,0,float64,0.0,0,
707,0,int32,808534896013.744,11611004.0,
707,0,int64,0.0,0,
707,0,float32,16207206834022.672,232744368.0,
707,0,float64,0.0,0,
708,0,int32,808534896013.744,11611004.0,
708,0,int64,0.0,0,
708,0,float32,16170697920274.88,232220080.0,
708,0,float64,0.0,0,
577,0,int32,404267448006.872,5805502.0,
577,0,int64,0.0,0,
577,0,float32,6468279168109.952,92888032.0,
577,0,float64,0.0,0,
551,0,int32,388549429.1307846,684.0,
551,0,int64,0.0,0,
551,0,float32,0.0,0,
551,0,float64,0.0,0,
691,0,int32,388549429.1307846,684.0,
691,0,int64,0.0,0,
691,0,float32,0.0,0,
691,0,float64,0.0,0,
692,0,int32,64758238.1884641,114.0,
692,0,int64,0.0,0,
692,0,float32,0.0,0,
692,0,float64,0.0,0,
693,0,int32,64758238.1884641,114.0,
693,0,int64,0.0,0,
693,0,float32,0.0,0,
693,0,float64,0.0,0,
694,0,int32,64758238.1884641,114.0,
694,0,int64,0.0,0,
694,0,float32,0.0,0,
694,0,float64,0.0,0,
552,0,int32,64758238.1884641,114.0,
552,0,int64,0.0,0,
552,0,float32,0.0,0,
552,0,float64,0.0,0,
561,0,int32,0.0,0,
561,0,int64,0.0,0,
561,0,float32,0.0,0,
561,0,float64,0.0,0,
